KEY,en
KEYWORD_DEHYDRATED_NAME,Жара
KEYWORD_DEHYDRATED_DESC,Исцеление уменьшено на 1. Не лечится после боя. Можно смягчить водой.
,
DEBUG_TEST_GERMAN_WORDWRAPPING,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW
,
ADVENTURE_BOX_LABEL,[b]Приключение[/b]
,
EVENT_GENIE_CHOICE_WEALTH,Богатство!
EVENT_GENIE_CHOICE_LOOKS,Красоту!
EVENT_GENIE_CHOICE_POWER,Силу!
EVENT_GENIE_CHOICE_CURSEMIND,Проклясть разум
EVENT_GENIE_CHOICE_CURSEBODY,Проклясть тело
EVENT_GENIE_CHOICE_CURSESOUL,Проклясть душу
,
POPUP_SWITCH_LANGUAGE_INGAME_WARNING,Некоторые тексты могут не обновиться на новый язык до перезапуска игры.
,
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_LABEL,Чего-то не хватает...
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_DESC,Сейчас у тебя нет средств для выполнения этого задания.
,
EVENT_MYSTERIOUSTENT_PROMPT,Войти в магазин
EVENT_TRACY_REW3B,"[i]«Держи, вот немного еды.»[/i]"
,
QEVENT_STACYMUTANT1_NAME,Эксперимент Стейси
QEVENT_STACYMUTANT1_QUES1,"{catname} находит большую машину с несколькими кнопками.

Через прозрачное окно {he} видит странного кота с дополнительной головой."
QEVENT_STACYMUTANT1_QUES1_M,
QEVENT_STACYMUTANT1_QUES1_F,
QEVENT_STACYMUTANT1_QUES1_N,"{catname} находит большую машину с несколькими кнопками.

Через прозрачное окно они видят странного кота с дополнительной головой."
QEVENT_STACYMUTANT1_QUES2,"{catname} подходит к машине и обдумывает варианты.

Какую мутацию тела дать клону Стейси?"
QEVENT_STACYMUTANT1_QUES2_M,
QEVENT_STACYMUTANT1_QUES2_F,
QEVENT_STACYMUTANT1_QUES2_N,
QEVENT_STACYMUTANT1_ANSW1,Шипы
QEVENT_STACYMUTANT1_REW1,"Робо-рука опускается и делает клону инъекцию.

Шипы прорываются сквозь кожу кота!"
QEVENT_STACYMUTANT1_REW1_M,
QEVENT_STACYMUTANT1_REW1_F,
QEVENT_STACYMUTANT1_REW1_N,
QEVENT_STACYMUTANT1_ANSW2,Стойка
