KEY,en,notes,sp,fr,de,it,pt-br
CLASS_UNLOCK_MEDIC,"""Cleric Collar"" is now available!",,¡Ya está disponible el collar de clérigo!,«&nbsp;Collier de Sage&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Kleriker“!,"È ora disponibile il ""Collare del Chierico""!","Nova coleira disponível: ""clérigo""!"
CLASS_UNLOCK_THIEF,"""Thief Collar"" is now available!",,¡Ya está disponible el collar de ladrón!,«&nbsp;Collier de Fourbe&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Dieb“!,"È ora disponibile il ""Collare del Ladro""!","Nova coleira disponível: ""ladrão""!"
CLASS_UNLOCK_NECROMANCER,"""Necromancer Collar"" is now available!",,¡Ya está disponible el collar de nigromante!,«&nbsp;Collier d'Occultiste&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Totenbeschwörer“!,"È ora disponibile il ""Collare del Necromante""!","Nova coleira disponível: ""necromante""!"
CLASS_UNLOCK_BUTCHER,"""Butcher Collar"" is now available!",,¡Ya está disponible el collar de carnicero!,«&nbsp;Collier de Barbare&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Schlachter“!,"È ora disponibile il ""Collare del Macellaio""!","Nova coleira disponível: ""açougueiro""!"
CLASS_UNLOCK_PSYCHIC,"""Psychic Collar"" is now available!",,¡Ya está disponible el collar de ocultista!,«&nbsp;Collier de Médium&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Medium“!,"È ora disponibile il ""Collare dello Psionico""!","Nova coleira disponível: ""psíquico""!"
CLASS_UNLOCK_TINKERER,"""Tinkerer Collar"" is now available!",,¡Ya está disponible el collar de manitas!,«&nbsp;Collier de Scientifique&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Bastler“!,"È ora disponibile il ""Collare dell'Inventore""!","Nova coleira disponível: ""artífice""!"
CLASS_UNLOCK_DRUID,"""Druid Collar"" is now available!",,¡Ya está disponible el collar de druida!,«&nbsp;Collier de Druide&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Druide“!,"È ora disponibile il ""Collare del Druido""!","Nova coleira disponível: ""druida""!"
CLASS_UNLOCK_MONK,"""Monk Collar"" is now available!",,¡Ya está disponible el collar de monje!,«&nbsp;Collier de Moine&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Mönch“!,"È ora disponibile il ""Collare del Monaco""!","Nova coleira disponível: ""monge""!"
CLASS_UNLOCK_JESTER,"""Jester Collar"" is now available!",,¡Ya está disponible el collar de bufón!,«&nbsp;Collier de Joker&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Narr“!,"È ora disponibile il ""Collare del Giullare""!","Nova coleira disponível: ""curinga""!"
,,,,,,,
AREA_UNLOCK_SEWERS,You can now adventure to The Sewers!,,¡Ya puedes explorar las alcantarillas!,Vous pouvez désormais vous rendre dans les Égouts !,Du kannst jetzt in die Kanalisation aufbrechen!,Ora puoi avventurarti nelle Fogne!,Agora você pode se aventurar no Esgoto!
AREA_UNLOCK_JUNKYARD,You can now adventure to The Junkyard!,,¡Ya puedes explorar el desguace!,Vous pouvez désormais vous rendre dans la Décharge !,Du kannst jetzt zum Schrottplatz aufbrechen!,Ora puoi avventurarti nella Discarica!,Agora você pode se aventurar no Ferro-Velho!
AREA_UNLOCK_CAVES,You can now adventure to The Caves!,,¡Ya puedes explorar las cuevas!,Vous pouvez désormais vous rendre dans les Grottes !,Du kannst jetzt in die Höhlen aufbrechen!,Ora puoi avventurarti nelle Caverne!,Agora você pode se aventurar nas Cavernas!
AREA_UNLOCK_BONEYARD,You can now adventure to The Boneyard!,,¡Ya puedes explorar el cementerio!,Vous pouvez désormais vous rendre au Cimetière !,Du kannst jetzt zum Friedhof aufbrechen!,Ora puoi avventurarti nel Cimitero!,Agora você pode se aventurar no Cemitério!
AREA_UNLOCK_DESERT,You can now adventure to The Desert!,,¡Ya puedes explorar el desierto!,Vous pouvez désormais vous rendre dans le Désert !,Du kannst jetzt in die Wüste aufbrechen!,Ora puoi avventurarti nel Deserto!,Agora você pode se aventurar no Deserto!
AREA_UNLOCK_CRATER,You can now adventure to The Crater!,,¡Ya puedes explorar el cráter!,Vous pouvez désormais vous rendre dans le Cratère !,Du kannst jetzt zum Krater aufbrechen!,Ora puoi avventurarti nel Cratere!,Agora você pode se aventurar na Cratera!
AREA_UNLOCK_BUNKER,You can now adventure to The Bunker!,,¡Ya puedes explorar el búnker!,Vous pouvez désormais vous rendre dans le Bunker !,Du kannst jetzt zum Bunker aufbrechen!,Ora puoi avventurarti nel Bunker!,Agora você pode se aventurar no Bunker!
AREA_UNLOCK_CORE,You can now adventure to The Core!,,¡Ya puedes explorar el núcleo!,Vous pouvez désormais vous rendre dans le Noyau !,Du kannst jetzt zum Kern aufbrechen!,Ora puoi avventurarti nel Nucleo!,Agora você pode se aventurar no Núcleo!
AREA_UNLOCK_MOON,You can now adventure to The Moon!,,¡Ya puedes explorar la luna!,Vous pouvez désormais vous rendre sur la Lune !,Du kannst jetzt zum Mond aufbrechen!,Ora puoi avventurarti sulla Luna!,Agora você pode se aventurar na Lua!
AREA_UNLOCK_LAB,You can now adventure to The Lab!,,¡Ya puedes explorar el laboratorio!,Vous pouvez désormais vous rendre dans le Labo !,Du kannst jetzt zum Labor aufbrechen!,Ora puoi avventurarti nel Laboratorio!,Agora você pode se aventurar no Laboratório!
