"KEY","en","notes","sp","fr","de","it","pt-br","ru","ko","ja","zh"
"CURRENT_LANGUAGE_NAME","English","put ""espanol"" in the spanish column, ""francois"" in the french one, etc. Limited text box space so abbreviate if necessary","Español","Français","Deutsch","Italiano","Português (Brasil)","Русский","","",""
"CURRENT_LANGUAGE_SHIPPABLE","yes","put ""yes"" if the language is shippable and ""no"" if its not ready yet. this is not displayed, just used to determine if the language should show in the UI selector","yes","yes","yes","yes","yes","yes","","",""
"","","","","","","","","","","",""
"// abilities.csv","","","","","","","","","","",""
"ABILITY_BLOCK_NAME","Block","","Bloqueo","Résistance","Blocken","Parata","Bloqueio","Блок","","",""
"ABILITY_BLOCK_DESC","Gain +2 [img:shield].","","Obtiene +2 [img:shield].","[img:shield]&nbsp;+2.","Erhalte +2&nbsp;[img:shield].","Ottieni +2 allo [img:shield].","Obtenha +2 de [img:shield].","+2 [img:shield].","","",""
"ABILITY_BLOCK2_DESC","Gain +5 [img:shield].","","Obtiene +5 [img:shield].","[img:shield]&nbsp;+5.","Erhalte +5&nbsp;[img:shield].","Ottieni +5 allo [img:shield].","Obtenha +5 de [img:shield].","+5 [img:shield].","","",""
"ABILITY_REST_NAME","Rest","","Descanso","Repos","Schläfchen","Riposo","Descanso","Отдых","","",""
"ABILITY_REST_DESC","Heal some HP, then fall asleep.","","Recupera algunos PS y luego se duerme.","Vous regagnez un peu de PV avant de vous endormir.","Stelle ein paar LP wieder her und schlafe anschließend ein.","Rigeneri alcuni PS, poi ti addormenti.","Cure um pouco de saúde, e então adormeça.","Восстановить немного ОЗ, затем уснуть.","","",""
"ABILITY_REST2_DESC","Heal a lot of HP, then fall asleep.","","Recupera muchos PS y luego se duerme.","Vous regagnez beaucoup de PV avant de vous endormir.","Stelle viel LP wieder her und schlafe anschließend ein.","Rigeneri molti PS, poi ti addormenti.","Cure muita saúde, e então adormeça.","Восстановить много ОЗ, затем уснуть.","","",""
"ABLITY_BRACE_NAME","Brace","","Refuerzo","Garde","Wappnen","Guardia","Preparação","Стойка","","",""
"ABLITY_BRACE_DESC","Gain +1 temporary Brace until your next turn.","","Obtiene +1 de refuerzo temporal hasta el próximo turno.","Garde temporaire&nbsp;+1&nbsp;jusqu'à votre prochain tour.","Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen.","Ottieni +1 Guardia temporanea fino al tuo prossimo turno.","Obtenha +1 de preparação temporária até seu próximo turno.","+1 временная Стойка до вашего следующего хода.","","",""
"ABLITY_BRACE2_DESC","Gain +1 temporary Brace and +1 temporary Thorns until your next turn.","","Obtiene +1 de refuerzo temporal y +1 de espinas temporal hasta el próximo turno.","Garde temporaire&nbsp;+1&nbsp;et Épines temporaires&nbsp;+1&nbsp;jusqu'à votre prochain tour.","Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen und +1 vorübergehende Dornen.","Ottieni +1 Guardia temporanea e +1 Spine temporanee fino al tuo prossimo turno.","Obtenha +1 de preparação temporária e +1 de espinhos temporários até seu próximo turno.","+1 временная Стойка и +1 временные Шипы до вашего следующего хода.","","",""
"ABILITY_GROOM_NAME","Groom","","Acicalamiento","Toilettage","Schlecken","Toelettatura","Enfeitar","Вылизывание","","",""
