KEY,en
TEAMNAME_FORMAT,{Adjective} {Nouns}
TEAMNAME_FORMAT2,{Adjective} {Nouns}
,
,
TEAMNAME_ADJECTIVE_FIGHTER0,Сильные
TEAMNAME_ADJECTIVE_FIGHTER1,Тупые
TEAMNAME_ADJECTIVE_FIGHTER2,Мощные
TEAMNAME_ADJECTIVE_FIGHTER3,Грозные
TEAMNAME_ADJECTIVE_FIGHTER4,Элитные
TEAMNAME_ADJECTIVE_FIGHTER5,Качковые
TEAMNAME_ADJECTIVE_FIGHTER6,Альфа
TEAMNAME_ADJECTIVE_FIGHTER7,Задиристые
TEAMNAME_ADJECTIVE_FIGHTER8,Побитые
TEAMNAME_ADJECTIVE_FIGHTER9,Бойцовые
TEAMNAME_ADJECTIVE_FIGHTER10,Крутые
TEAMNAME_ADJECTIVE_FIGHTER11,Дерзкие
TEAMNAME_ADJECTIVE_FIGHTER12,Тусклые
TEAMNAME_ADJECTIVE_FIGHTER13,Мрачные
TEAMNAME_ADJECTIVE_HUNTER0,Терпеливые
TEAMNAME_ADJECTIVE_HUNTER1,Меткие
TEAMNAME_ADJECTIVE_HUNTER2,Сосредоточенные
TEAMNAME_ADJECTIVE_HUNTER3,Остроглазые
TEAMNAME_ADJECTIVE_HUNTER4,Паршивые
TEAMNAME_ADJECTIVE_HUNTER5,Блохастые
TEAMNAME_ADJECTIVE_HUNTER6,Дальнобойные
TEAMNAME_ADJECTIVE_HUNTER7,Ловчие
TEAMNAME_ADJECTIVE_HUNTER8,Зоркие
TEAMNAME_ADJECTIVE_HUNTER9,Дикие
TEAMNAME_ADJECTIVE_HUNTER10,Необузданные
TEAMNAME_ADJECTIVE_HUNTER11,Уличные
TEAMNAME_ADJECTIVE_MEDIC0,Заботливые
TEAMNAME_ADJECTIVE_MEDIC1,Любящие
TEAMNAME_ADJECTIVE_MEDIC2,Почтительные
TEAMNAME_ADJECTIVE_MEDIC3,Святые
TEAMNAME_ADJECTIVE_MEDIC4,Набожные
TEAMNAME_ADJECTIVE_MEDIC5,Истовые
TEAMNAME_ADJECTIVE_MEDIC6,Божественные
TEAMNAME_ADJECTIVE_MEDIC7,Праведные
TEAMNAME_ADJECTIVE_MEDIC8,Дивные
TEAMNAME_ADJECTIVE_MEDIC9,Верные
TEAMNAME_ADJECTIVE_MEDIC10,Помазанные
TEAMNAME_ADJECTIVE_MAGE0,Магические
TEAMNAME_ADJECTIVE_MAGE1,Стихийные
TEAMNAME_ADJECTIVE_MAGE2,Настроенные
TEAMNAME_ADJECTIVE_MAGE3,Колдующие
TEAMNAME_ADJECTIVE_MAGE4,Башковитые
TEAMNAME_ADJECTIVE_MAGE5,Умные
TEAMNAME_ADJECTIVE_MAGE6,Зачарованные
TEAMNAME_ADJECTIVE_MAGE7,Околдованные
TEAMNAME_ADJECTIVE_MAGE8,Маноёмкие
TEAMNAME_ADJECTIVE_MAGE9,Учёные
TEAMNAME_ADJECTIVE_MAGE10,Интеллектуальные
TEAMNAME_ADJECTIVE_MAGE11,Волшебные
TEAMNAME_ADJECTIVE_TANK0,Толстые
TEAMNAME_ADJECTIVE_TANK1,Стойкие
TEAMNAME_ADJECTIVE_TANK2,Крепкие
TEAMNAME_ADJECTIVE_TANK3,Жирные
TEAMNAME_ADJECTIVE_TANK4,Твёрдые
TEAMNAME_ADJECTIVE_TANK5,Живучие
TEAMNAME_ADJECTIVE_TANK6,Коренастые
TEAMNAME_ADJECTIVE_TANK7,Широкие
TEAMNAME_ADJECTIVE_TANK8,Здоровенные
TEAMNAME_ADJECTIVE_TANK9,Пухлые
TEAMNAME_ADJECTIVE_TANK10,Каменные
TEAMNAME_ADJECTIVE_TANK11,Плотные
TEAMNAME_ADJECTIVE_TANK12,Кругленькие
TEAMNAME_ADJECTIVE_TANK13,XXL
TEAMNAME_ADJECTIVE_TANK14,Ленивые
TEAMNAME_ADJECTIVE_TANK15,Медленные
TEAMNAME_ADJECTIVE_TANK16,Жирненькие
TEAMNAME_ADJECTIVE_THIEF0,Скрытные
TEAMNAME_ADJECTIVE_THIEF1,Хитрые
TEAMNAME_ADJECTIVE_THIEF2,Тайные
TEAMNAME_ADJECTIVE_THIEF3,Лживые
TEAMNAME_ADJECTIVE_THIEF4,Жадные
TEAMNAME_ADJECTIVE_THIEF5,Прижимистые
TEAMNAME_ADJECTIVE_THIEF6,Шустрые
TEAMNAME_ADJECTIVE_THIEF7,Шкодливые
TEAMNAME_ADJECTIVE_THIEF8,Ворующие
TEAMNAME_ADJECTIVE_THIEF9,Наёмные
TEAMNAME_ADJECTIVE_THIEF10,Режущие
TEAMNAME_ADJECTIVE_THIEF11,Тёмные
TEAMNAME_ADJECTIVE_THIEF12,Тихие
TEAMNAME_ADJECTIVE_THIEF13,Засекреченные
TEAMNAME_ADJECTIVE_MONK0,Уравновешенные
TEAMNAME_ADJECTIVE_MONK1,Дзен
TEAMNAME_ADJECTIVE_MONK2,Текучие
TEAMNAME_ADJECTIVE_MONK3,Медитирующие
TEAMNAME_ADJECTIVE_MONK4,Спокойные
TEAMNAME_ADJECTIVE_MONK5,Летающие
TEAMNAME_ADJECTIVE_MONK6,Просветлённые
TEAMNAME_ADJECTIVE_MONK7,Блаженные
TEAMNAME_ADJECTIVE_MONK8,Внутренние
TEAMNAME_ADJECTIVE_MONK9,Центрованные
TEAMNAME_ADJECTIVE_MONK10,Парящие
TEAMNAME_ADJECTIVE_MONK11,Кармические
TEAMNAME_ADJECTIVE_MONK12,Трансцендентные
TEAMNAME_ADJECTIVE_DRUID0,Звериные
TEAMNAME_ADJECTIVE_DRUID1,Поющие
TEAMNAME_ADJECTIVE_DRUID2,Природные
TEAMNAME_ADJECTIVE_DRUID3,Мирные
TEAMNAME_ADJECTIVE_DRUID4,Музыкальные
TEAMNAME_ADJECTIVE_DRUID5,Шебутные
TEAMNAME_ADJECTIVE_DRUID6,Призванные
TEAMNAME_ADJECTIVE_DRUID7,Листовые
TEAMNAME_ADJECTIVE_DRUID8,Обкуренные
TEAMNAME_ADJECTIVE_DRUID9,Пляшущие
TEAMNAME_ADJECTIVE_DRUID10,Свистящие
TEAMNAME_ADJECTIVE_DRUID11,А Капелла
TEAMNAME_ADJECTIVE_PSYCHIC0,Трёхглазые
TEAMNAME_ADJECTIVE_PSYCHIC1,Астральные
TEAMNAME_ADJECTIVE_PSYCHIC2,Провидящие
TEAMNAME_ADJECTIVE_PSYCHIC3,Мистические
TEAMNAME_ADJECTIVE_PSYCHIC4,Читающие Мысли
TEAMNAME_ADJECTIVE_PSYCHIC5,Гадальные
TEAMNAME_ADJECTIVE_PSYCHIC6,Экстрасенсорные
TEAMNAME_ADJECTIVE_PSYCHIC7,Телепатические
TEAMNAME_ADJECTIVE_PSYCHIC8,Чарующие
TEAMNAME_ADJECTIVE_PSYCHIC9,Манипулятивные
TEAMNAME_ADJECTIVE_PSYCHIC10,Всезнающие
TEAMNAME_ADJECTIVE_PSYCHIC11,Пульсирующие
TEAMNAME_ADJECTIVE_PSYCHIC12,Кататонические
TEAMNAME_ADJECTIVE_BUTCHER0,Голодные
TEAMNAME_ADJECTIVE_BUTCHER1,Потные
TEAMNAME_ADJECTIVE_BUTCHER2,Мясистые
TEAMNAME_ADJECTIVE_BUTCHER3,Нарезанные
TEAMNAME_ADJECTIVE_BUTCHER4,Подвешенные
TEAMNAME_ADJECTIVE_BUTCHER5,Кровоточащие
TEAMNAME_ADJECTIVE_BUTCHER6,Ненасытные
TEAMNAME_ADJECTIVE_BUTCHER7,Мясные
TEAMNAME_ADJECTIVE_BUTCHER8,Закованные
TEAMNAME_ADJECTIVE_BUTCHER9,Кровожадные
TEAMNAME_ADJECTIVE_BUTCHER10,Рубящие
TEAMNAME_ADJECTIVE_NECROMANCER0,Нежившие
TEAMNAME_ADJECTIVE_NECROMANCER1,Гниющие
TEAMNAME_ADJECTIVE_NECROMANCER2,Тёмные
TEAMNAME_ADJECTIVE_NECROMANCER3,Тлеющие
TEAMNAME_ADJECTIVE_NECROMANCER4,Готические
TEAMNAME_ADJECTIVE_NECROMANCER5,Эмо
TEAMNAME_ADJECTIVE_NECROMANCER6,Чёрные
TEAMNAME_ADJECTIVE_NECROMANCER7,Злые
TEAMNAME_ADJECTIVE_NECROMANCER8,Проклятые
TEAMNAME_ADJECTIVE_NECROMANCER9,Высосанные
TEAMNAME_ADJECTIVE_NECROMANCER10,Полуночные
TEAMNAME_ADJECTIVE_NECROMANCER11,Мёртвые
TEAMNAME_ADJECTIVE_NECROMANCER12,Жуткие
TEAMNAME_ADJECTIVE_TINKERER0,Мастеровые
TEAMNAME_ADJECTIVE_TINKERER1,Лоскутные
TEAMNAME_ADJECTIVE_TINKERER2,Изобретательные
TEAMNAME_ADJECTIVE_TINKERER3,Безумные
TEAMNAME_ADJECTIVE_TINKERER4,Поджаренные
TEAMNAME_ADJECTIVE_TINKERER5,Электрические
TEAMNAME_ADJECTIVE_TINKERER6,Креативные
TEAMNAME_ADJECTIVE_TINKERER7,Научные
TEAMNAME_ADJECTIVE_TINKERER8,Роботизированные
TEAMNAME_ADJECTIVE_TINKERER9,Металлические
TEAMNAME_ADJECTIVE_TINKERER10,Взрывные
TEAMNAME_ADJECTIVE_TINKERER11,Бронированные
TEAMNAME_ADJECTIVE_TINKERER12,Вооружённые
TEAMNAME_ADJECTIVE_TINKERER13,Радиоуправляемые
TEAMNAME_ADJECTIVE_COLORLESS0,Обычные
TEAMNAME_ADJECTIVE_COLORLESS1,Простые
TEAMNAME_ADJECTIVE_COLORLESS2,Стандартные
