KEY,en,notes,sp,fr,de,it,pt-br
EABILITY_HOLYBLAST_NAME,Holy Blast,,Explosión sagrada,Explosion sacrée,Heilige Explosion,Esplosione Sacra,Explosão Sagrada
EABILITY_PRECOGNITION_NAME,Precognition,,Premonición,Prémonition,Vorausahnung,Precognizione,Predição
EABILITY_ANNIHILATION_NAME,Annihilation,,Aniquilación,Annihilation,Vernichtung,Annientamento,Aniquilação
EABILITY_RISE_NAME,Rise,,Levantamiento,Ascension,Erheben,Ascesa,Elevação
EABILITY_PURITY_NAME,Purity,,Pureza,Pureté,Reinheit,Purezza,Pureza
EABILITY_WRATH_NAME,Wrath,,Ira,Courroux,Zorn,Ira,Ira
EABILITY_PULSE_NAME,Pulse,,Pulso,Pulsation,Puls,Impulso,Pulso
EABILITY_SLAM_NAME,Slam,,Porrazo,Écrasement,Aufschlag,Schianto,Batida
EABILITY_TOSS_NAME,Toss,,Lanzamiento,Lancer,Wurf,Lancio,Lançamento
EABILITY_GASP_NAME,Gasp,,Bocanada,Exclamation,Keuchen,Sussulto,Engasgo
EABILITY_RAGE_NAME,Rage,,Rabia,Rage,Rage,Rabbia,Raiva
EABILITY_TANTRUM_NAME,Tantrum,,Rabieta,Caprice,Wutanfall,Capriccio,Birra
EABILITY_CALL_NAME,Call,,Llamada,Appel,Ruf,Richiamo,Chamado
EABILITY_SPIT_NAME,Spit,,Escupitajo,Crachat,Ausspucken,Sputo,Cuspe
EABILITY_BELLYPOUND_NAME,Belly Pound,,Barrigazo,Tambourinage de bide,Bauchtrommel,Sbatacchiamento di Pancia,Barrigada
EABILITY_DIGEST_NAME,Digest,,Digestión,Digestion,Verdauen,Digestione,Digestão
EABILITY_HEADCHARGE_NAME,Head Charge,,Cabezazo,Tête en avant,Kopfansturm,Carica di Testa,Cabeçada
EABILITY_SHRIEK_NAME,Shriek,,Chillido,Cri perçant,Kreischen,Stridio,Guincho
EABILITY_SCREAM_NAME,Scream,,Grito,Cri,Schrei,Urlo,Grito
EABILITY_SHAKE_NAME,Shake,,Sacudida,Secousse,Schütteln,Scuotimento,Tremor
EABILITY_COUGH_NAME,Cough,,Tos,Toux,Husten,Tosse,Tosse
EABILITY_PRISON_NAME,Prison,,Prisión,Prison,Gefängnis,Prigione,Prisão
EABILITY_SPINTHROW_NAME,Spin Throw,,Lanzamiento giratorio,Lancer toupie,Drehwurf,Lancio Rotante,Lançamento Giratório
EABILITY_FIRESTORM_NAME,Firestorm,,Tormenta de fuego,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de Fogo
EABILITY_FIREBREATH_NAME,Fire Breath,,Aliento de fuego,Souffle de feu,Feueratem,Soffio di Fuoco,Hálito Flamejante
EABILITY_VOLCANOSTOMP_NAME,Volcano Stomp,,Pisotón volcánico,Piétinement volcanique,Vulkanstampfer,Pestone Vulcanico,Pisão de Vulcão
EABILITY_SPINDASH_NAME,Spin Dash,,Carrera giratoria,Charge tournoyante,Drehsturm,Scatto Rotante,Impulso Giratório
EABILITY_METEORNADO_NAME,Meteornado,,Meteornado,Météornade,Meteornado,Meteornado,Meteoronado
EABILITY_TURTLE_NAME,Turtle,,Tortuga,Tortue,Panzerschutz,Tartaruga,Tartaruga
EABILITY_MAGNETPULL_NAME,Magnet Pull,,Atracción magnética,Attirance magnétique,Magnetzug,Attrazione Magnetica,Atração Magnética
EABILITY_METEORBOMBARD_NAME,Meteor Bombardment,,Bombardeo de meteoritos,Bombardement météore,Meteorbeschuss,Bombardamento Meteoritico,Bombardeio de Meteoros
EABILITY_HSULF_NAME,Hsulf,"""Flush"" backwards (for chaos boss) [backwards version of flushmaster Flush]",Anretsic,Odessahc,Gnulüps,Enouqcaics,Agracsed
EABILITY_TSALBDNIMAGEM_NAME,Tsalb Dnim Agem,"""Mega Mind Blast"" backwards (for chaos boss) [backwards version of johnny's Mega Mind Blast]",Latnem nóisolpxeagem,Euqihcysp epparf agèm,Noisolpxeneknadeg Egiseir,Elatnem Enoisolpse Agem,Latnem Oãsolpxe Agem
EABILITY_TUODAERPS_NAME,Tuo Daerps.,"""Spread Out"" backwards (for chaos boss) [backwards version of throbbing king's Spread Out]",Adadnabsed,Suov-zesrepsid.,Nelietrev.,Ivetailgapraps.,Otnemahlapse
EABILITY_THROWGRENADE_NAME,Throw Grenade,,Lanzamiento de granada,Lancer de grenade,Granate werfen,Lancio di Granata,Lançar Granada
EABILITY_SNIPER_NAME,Sniper,,Tiro de francotirador,Sniper,Scharfschütze,Cecchino,Sniper
EABILITY_BOULDERDROP_NAME,Boulder Drop!,,¡Peñasco va!,Lancer de rocher,Steinschlag!,Caduta Massi!,Pedrada!
EABILITY_T3RIPANDTEAR_NAME,Auseinanderreißen,,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen
EABILITY_ROULETTE_NAME,Roulette.,,Ruleta,Roulette.,Roulette.,Roulette.,Roleta.
EABILITY_KNEEL_NAME,Kneel.,,Postración,À genoux.,Kniet nieder.,Inginocchiatevi.,Ajoelhar.
EABILITY_GOAWAY_NAME,Go Away.,,Distanciamiento,Dégage.,Aus meinen Augen.,Andatevene.,Partida.
EABILITY_SPREADOUT_NAME,Spread Out.,,Desbandada,Dispersez-vous.,Verteilt euch.,Sparpagliatevi.,Espalhamento.
EABILITY_VOMITRAIN_NAME,Vomit Rain,,Lluvia de vómito,Pluie de vomi,Kotzregen,Pioggia di Vomito,Chuva de Vômito
EABILITY_SPAWNBOMB_NAME,Spawn Bomb,,Generación de bomba,Invocation de bombe,Bombe werfen,Generazione Bomba,Gerar Bomba
EABILITY_SPAWNRAT_NAME,Spawn Rat,,Generación de rata,Invocation de rat,Ratte rufen,Generazione Ratto,Gerar Rato
EABILITY_CUT_NAME,Cut,,Corte,Coupure,Ritzen,Taglio,Corte
EABILITY_HEAL_NAME,Heal,,Curación,Soin,Heilung,Cura,Cura
EABILITY_TRAMPLEDASH_NAME,Trample Dash,,Carrera con pisotón,Charge bélier,Trampelansturm,Scatto Travolgente,Atropelamento
EABILITY_RAGEUP_NAME,Rage Up,,Rabia aumentada,Fureur,Wut hoch,Furia +,Enfurecer
EABILITY_DUSTDASH_NAME,Dust Dash,,Carrera polvorienta,Charge poussiéreuse,Staubansturm,Scatto di Polvere,Impulso de Poeira
EABILITY_SPELLSHIELD_NAME,Spell Shield,,Escudo antihechizos,Bouclier magique,Zauberschild,Scudo Magico,Escudo Encantado
EABILITY_FLAMETHROWER_NAME,Flamethrower,,Lanzallamas,Lance-flammes,Flammenwerfer,Lanciafiamme,Lança-Chamas
EABILITY_WIZBLIZZ_NAME,Wiz Blizz,,Viento embrujado,Blizzard magique,Zauberschnee,Bufera Magica,Nevascaria
EABILITY_WIZSTORM_NAME,xXx_Thunder_xXx,,xXx_Trueno_xXx,xXx_Tonnerre_xXx,xXx_Donner_xXx,xXx_Tuono_xXx,xXx_Trovão_xXx
EABILITY_SWIPE_NAME,Swipe,,Golpe,Baffe,Schlag,Zampata,Passada
EABILITY_BITE_NAME,Bite,,Mordisco,Morsure,Biss,Morso,Mordida
EABILITY_GEMINADO_NAME,Geminado,,Geminado,Tornades jumelles,Geminado,Geminado,Geminado
EABILITY_SUICIDEMELEE_NAME,Melee Attack,,Ataque cuerpo a cuerpo,Attaque au corps à corps,Nahkampfangriff,Attacco Corpo a Corpo,Ataque Corpo-a-Corpo
